"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"sensitivity-kfactor"
"07/25/2026 18:53:33:510 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","k-factor","n-sim-days","[step]","peak-vc-inner","current-sim-day","peak-vc-boundary","peak-vc-peripheral","peak-ef-mwy","peak-ef-cbd","peak-ef-east","peak-ef-west","pct-los-ef-am-g ""MWY""","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""East""","pct-los-ef-am-g ""West"""
"5","Exp-Decay","tou","0.1","14","2","0.09022433795337242","2","0.25400264032766695","0.06634588159373983","90.30242426429469","84.31537683562969","87.83120018510846","84.56959041928174","67.22133090226218","73.86908216484287","79.20648120932972","77.14038449047672"
"6","Exp-Decay","tou","0.12","14","2","0.09022433795337242","2","0.25400264032766695","0.06634588159373983","85.30346146595765","76.3532978301485","82.04386589998181","82.33695809685578","25.58858099985292","65.87500775101562","71.05513098111405","66.35229834203741"
"4","Exp-Decay","tou","0.08","14","2","0.09022433795337242","2","0.25400264032766695","0.06634588159373983","94.76722748576577","90.68007029484707","90.47661137258015","88.8666474759954","86.01257392090638","80.88808411776816","85.19820935576676","83.56374752938848"
"2","Exp-Decay","No-Charge","0.1","14","2","0.11488469000627051","2","0.3667612180449964","0.07517473002801155","92.21822092387404","87.26916542577769","89.07401961408698","82.25190660765915","74.26604433986066","83.36275156106855","84.3462685533948","81.56316751528205"
"3","Exp-Decay","No-Charge","0.12","14","2","0.11488469000627051","2","0.3667612180449964","0.07517473002801155","90.50213441212591","83.06517527458917","83.98509794677499","81.05856241115852","49.82589027821177","76.82149550471973","79.12171925120434","68.23650015942759"
"1","Exp-Decay","No-Charge","0.08","14","2","0.11488469000627051","2","0.3667612180449964","0.07517473002801155","95.05121661086739","91.37444484039672","92.98036614888964","86.38995803884742","90.86014830666066","86.35782051742375","87.67908841425496","84.6793094807693"
"5","Exp-Decay","tou","0.1","14","3","0.10307636355184795","3","0.3204264090438434","0.058238680350420624","91.10671130913066","82.68431999306391","83.31135633808414","81.57229567147867","62.16648454030075","74.25897271551621","78.85831483004726","77.0242680790407"
"6","Exp-Decay","tou","0.12","14","3","0.10307636355184795","3","0.3204264090438434","0.058238680350420624","79.9175115449051","80.19567672933539","79.96710198301497","78.48727403843104","39.433534329409845","65.79810466224694","70.13322730135151","67.46355171889937"
"4","Exp-Decay","tou","0.08","14","3","0.10307636355184795","3","0.3204264090438434","0.058238680350420624","93.47073067467288","88.8767039076581","89.17945313155263","83.60356497193405","86.14376295386658","81.18001707196974","84.10833795941676","81.73826530099059"
"2","Exp-Decay","No-Charge","0.1","14","3","0.11730181667928281","3","0.36206093630309355","0.07600981174957916","92.94507277495572","88.50657023057198","86.8246561892349","84.48723836369804","77.48299501825568","84.00117996010842","83.96951680947534","80.44928588325132"
