link_id,class,group,position,adt_obs,veh_day_model
l_1827,arterial,East,peripheral,18554,1560
l_1773,arterial,East,boundary,25748,35820
l_703,arterial,CBD,inner,7124,28620
l_142,arterial,West,peripheral,28822,25500
l_287,arterial,West,peripheral,12562,10860
l_449,arterial,East,boundary,14414,58740
l_825,arterial,CBD,inner,30388,21120
l_723,arterial,East,boundary,7124,25080
l_742,arterial,East,peripheral,27324,1500
l_879,arterial,East,peripheral,27324,10140
l_169,arterial,East,boundary,24996,76200
l_1284,motorway,MWY,peripheral,90000,0
l_1813,arterial,West,peripheral,28822,8880
l_236,arterial,East,peripheral,15481,19860
l_418,arterial,West,peripheral,16293,2400
l_839,arterial,East,peripheral,10658,10620
l_145,arterial,East,boundary,16700,9120
l_485,arterial,East,peripheral,9369,9780
l_613,arterial,West,peripheral,17823,10620
l_758,arterial,East,peripheral,6838,0
l_2596,arterial,West,peripheral,25694,600
l_83,arterial,CBD,inner,12793,61200
l_482,arterial,West,boundary,11780,230700
l_138,arterial,West,peripheral,28195,14820
l_1211,arterial,West,boundary,23275,11820
l_875,arterial,East,peripheral,34625,2160
l_956,arterial,East,peripheral,18554,13800
l_1895,arterial,East,peripheral,6446,29160
l_1792,arterial,East,boundary,21939,50700
l_1793,arterial,East,peripheral,21939,50700
l_632,arterial,CBD,inner,21939,52380
l_39,arterial,East,peripheral,15481,30660
l_101,arterial,West,peripheral,28822,26820
l_812,arterial,East,peripheral,27324,2100
l_700,arterial,East,peripheral,25748,30180
l_518,arterial,East,peripheral,12000,19860
l_2342,motorway,MWY,peripheral,95000,173640
l_1775,motorway,MWY,peripheral,95000,173640
l_898,arterial,East,peripheral,10658,10620
l_715,arterial,CBD,inner,9523,43020
l_16,arterial,West,peripheral,28195,14100
l_1739,arterial,CBD,inner,30388,19620
l_2245,arterial,West,boundary,20224,123060
l_846,arterial,East,peripheral,18554,34500
l_30,arterial,West,peripheral,28195,14820
l_572,arterial,West,peripheral,28822,26820
l_811,arterial,CBD,inner,16204,43320
l_600,arterial,West,peripheral,28822,25500
l_2148,motorway,MWY,peripheral,85000,22620
l_1503,arterial,East,peripheral,18554,34260
l_1297,arterial,East,boundary,23275,28980
l_769,arterial,East,peripheral,6838,0
l_71,arterial,West,peripheral,18012,6240
l_265,arterial,West,peripheral,17823,21420
l_377,arterial,East,peripheral,9627,7920
l_352,arterial,CBD,inner,8479,71280
l_373,arterial,East,boundary,24996,74280
l_170,arterial,CBD,inner,24996,74640
l_2601,arterial,CBD,inner,30388,35100
l_448,arterial,West,peripheral,19825,25620
l_626,arterial,CBD,inner,16293,61560
l_567,arterial,East,peripheral,15481,30720
l_1425,arterial,West,peripheral,28195,14580
l_2021,arterial,CBD,inner,20224,130980
l_410,arterial,CBD,inner,3000,37380
l_273,arterial,CBD,inner,25486,48480
l_996,arterial,CBD,inner,25486,72840
l_840,arterial,West,peripheral,16700,5040
l_1836,motorway,MWY,peripheral,90000,148620
l_533,arterial,CBD,inner,12793,62700
l_779,arterial,West,peripheral,34625,1800
l_335,arterial,West,peripheral,18012,2760
l_376,arterial,East,peripheral,20157,31920
l_2291,motorway,MWY,boundary,90000,217140
l_2327,motorway,MWY,peripheral,95000,173640
l_1188,motorway,MWY,peripheral,90000,14760
l_743,arterial,West,boundary,16293,104460
l_247,arterial,East,boundary,9523,43020
l_589,arterial,East,peripheral,18554,1860
l_455,arterial,East,peripheral,10658,7440
l_2248,arterial,West,boundary,90000,360
l_2135,arterial,West,peripheral,28195,15420
l_181,arterial,East,peripheral,20224,140640
l_2384,arterial,West,boundary,20224,108000
l_1348,arterial,West,peripheral,30484,59520
l_577,arterial,CBD,inner,25486,76920
l_394,arterial,West,peripheral,16700,32100
l_393,arterial,East,peripheral,18554,1380
l_13,arterial,West,peripheral,15177,2280
l_1318,arterial,East,boundary,27326,38880
l_1108,arterial,West,peripheral,19779,360
l_1490,arterial,East,peripheral,22621,195240
l_328,arterial,CBD,inner,25748,26520
l_512,arterial,East,peripheral,10658,6960
l_2047,arterial,East,peripheral,21939,127560
l_530,arterial,East,peripheral,15906,11160
l_1756,arterial,CBD,inner,4804,720
l_157,arterial,CBD,inner,8479,72180
l_375,arterial,West,peripheral,12562,10260
l_381,arterial,East,peripheral,15481,30780
l_378,arterial,East,peripheral,20157,31920
l_210,arterial,West,peripheral,18012,4740
l_496,arterial,West,peripheral,17823,11460
l_2549,motorway,MWY,peripheral,95000,144240
l_2210,arterial,East,peripheral,25748,30360
l_1481,arterial,CBD,inner,21939,46620
l_113,arterial,West,peripheral,18012,6240
l_282,arterial,West,peripheral,18012,6240
